Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
85068-59218,W,David,David Pastrnak,Pastrnak,22.661290322580644,31,10100,WPG@BOS,BOS,WPG,,,,,,W/UTIL
85068-135875,W,Kirill,Kirill Kaprizov,Kaprizov,20.40625,32,10000,MIN@SJ,MIN,SJ,,,,,,W/UTIL
85068-8594,C,Sidney,Sidney Crosby,Crosby,18.390625,32,9700,CAR@PIT,PIT,CAR,,,,,,C/UTIL
85068-8718,W,Alex,Alex Ovechkin,Ovechkin,18.370587517233457,34,9500,WSH@OTT,WSH,OTT,,,,,,W/UTIL
85068-70125,W,Kyle,Kyle Connor,Connor,17.943750381469727,32,9400,WPG@BOS,WPG,BOS,,,,,,W/UTIL
85068-84409,C,Elias,Elias Pettersson,Pettersson,18.25517325565733,29,9300,SEA@VAN,VAN,SEA,DTD,Illness,,,,C/UTIL
85068-97147,W,Brady,Brady Tkachuk,Tkachuk,18.009374618530273,32,9300,WSH@OTT,OTT,WSH,,,,,,W/UTIL
85068-66690,W,Timo,Timo Meier,Meier,17.53529447667739,34,9100,MIN@SJ,SJ,MIN,,,,,,W/UTIL
85068-42478,C,Bo,Bo Horvat,Horvat,17.26774154170867,31,8900,SEA@VAN,VAN,SEA,,,,,,C/UTIL
85068-12253,W,Mats,Mats Zuccarello,Zuccarello,16.549999237060547,32,8900,MIN@SJ,MIN,SJ,,,,,,W/UTIL
85068-14565,C,Mika,Mika Zibanejad,Zibanejad,17.36764705882353,34,8800,NYI@NYR,NYR,NYI,,,,,,C/UTIL
85068-70901,C,Pierre-Luc,Pierre-Luc Dubois,Dubois,16.293750762939453,32,8700,WPG@BOS,WPG,BOS,,,,,,C/UTIL
85068-21897,C,Brock,Brock Nelson,Nelson,15.675757205847537,33,8600,NYI@NYR,NYI,NYR,,,,,,C/UTIL
85068-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,15.490908536044033,22,8600,MIN@SJ,MIN,SJ,,,,,,G
85068-82752,G,Filip,Filip Gustavsson,Gustavsson,15.893332926432292,15,8600,MIN@SJ,MIN,SJ,,,,,,G
85068-54809,G,Linus,Linus Ullmark,Ullmark,23.82608695652174,23,8500,WPG@BOS,BOS,WPG,,,,,,G
85068-120415,G,Jeremy,Jeremy Swayman,Swayman,10.892308161808895,13,8500,WPG@BOS,BOS,WPG,,,,,,G
85068-73885,W,Alex,Alex DeBrincat,DeBrincat,15.621874809265137,32,8200,WSH@OTT,OTT,WSH,,,,,,W/UTIL
85068-58909,G,Connor,Connor Hellebuyck,Hellebuyck,22.88,25,8200,WPG@BOS,WPG,BOS,,,,,,G
85068-139206,G,Arvid,Arvid Holm,Holm,,,8200,WPG@BOS,WPG,BOS,,,,,,G
85068-70635,G,David,David Rittich,Rittich,12.654545177112926,11,8200,WPG@BOS,WPG,BOS,,,,,,G
85068-8453,G,Jaroslav,Jaroslav Halak,Halak,7.599999745686849,12,8100,NYI@NYR,NYR,NYI,,,,,,G
85068-104015,G,Igor,Igor Shesterkin,Shesterkin,18.577778003833913,27,8100,NYI@NYR,NYR,NYI,,,,,,G
85068-70571,W,Jake,Jake Guentzel,Guentzel,15.556667073567708,30,8100,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-73946,C,Sebastian,Sebastian Aho,Aho,15.36153822678786,26,8000,CAR@PIT,CAR,PIT,DTD,Lower body,,,,C/UTIL
85068-74064,G,Casey,Casey DeSmith,DeSmith,13.485714503696986,14,8000,CAR@PIT,PIT,CAR,,,,,,G
85068-42868,G,Tristan,Tristan Jarry,Jarry,21.147825821586277,23,8000,CAR@PIT,PIT,CAR,,,,,,G
85068-62493,W,Artemi,Artemi Panarin,Panarin,14.96470552332261,34,7900,NYI@NYR,NYR,NYI,,,,,,W/UTIL
85068-40050,G,Antti,Antti Raanta,Raanta,10.733333587646484,12,7900,CAR@PIT,CAR,PIT,,,,,,G
85068-149700,G,Pyotr,Pyotr Kochetkov,Kochetkov,21.386665852864585,15,7900,CAR@PIT,CAR,PIT,,,,,,G
85068-23072,G,Frederik,Frederik Andersen,Andersen,12.799999660915798,9,7900,CAR@PIT,CAR,PIT,IR,Lower body,,,,G
85068-82045,W,Martin,Martin Necas,Necas,15.115625381469727,32,7800,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-8595,C,Evgeni,Evgeni Malkin,Malkin,15.125,32,7800,CAR@PIT,PIT,CAR,,,,,,C/UTIL
85068-8551,D,Erik,Erik Karlsson,Karlsson,17.776471306295957,34,7700,MIN@SJ,SJ,MIN,,,,,,D/UTIL
85068-8732,G,Semyon,Semyon Varlamov,Varlamov,17.333333333333332,15,7700,NYI@NYR,NYI,NYR,O,Lower body,,,,G
85068-8763,W,Brad,Brad Marchand,Marchand,14.875,24,7700,WPG@BOS,BOS,WPG,,,,,,W/UTIL
85068-142017,C,Tim,Tim Stuetzle,Stuetzle,14.232142857142858,28,7700,WSH@OTT,OTT,WSH,IR,Shoulder,,,,C/UTIL
85068-97232,G,Ilya,Ilya Sorokin,Sorokin,17.824000244140624,25,7700,NYI@NYR,NYI,NYR,,,,,,G
85068-9278,G,Martin,Martin Jones,Jones,14.509091463955967,22,7600,SEA@VAN,SEA,VAN,,,,,,G
85068-82190,W,Drake,Drake Batherson,Batherson,14.725000381469727,32,7600,WSH@OTT,OTT,WSH,,,,,,W/UTIL
85068-12697,G,Philipp,Philipp Grubauer,Grubauer,8.266666412353516,12,7600,SEA@VAN,SEA,VAN,,,,,,G
85068-15321,C,Mark,Mark Scheifele,Scheifele,14.300000190734863,32,7600,WPG@BOS,WPG,BOS,,,,,,C/UTIL
85068-68647,G,Charlie,Charlie Lindgren,Lindgren,15.244444105360243,18,7500,WSH@OTT,WSH,OTT,,,,,,G
85068-14466,G,Darcy,Darcy Kuemper,Kuemper,15.345454822887074,22,7500,WSH@OTT,WSH,OTT,,,,,,G
85068-73949,C,Joel,Joel Eriksson Ek,Eriksson Ek,14.09375,32,7500,MIN@SJ,MIN,SJ,,,,,,C/UTIL
85068-160183,G,Hunter,Hunter Shepard,Shepard,,,7500,WSH@OTT,WSH,OTT,,,,,,G
85068-59208,W,Kevin,Kevin Fiala,Fiala,14.45142822265625,35,7400,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-66610,G,Dan,Dan Vladar,Vladar,14.133333841959635,12,7300,CGY@LA,CGY,LA,,,,,,G
85068-85470,W,Andrei,Andrei Svechnikov,Svechnikov,14.565625190734863,32,7300,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-42981,D,Josh,Josh Morrissey,Morrissey,15.118749618530273,32,7300,WPG@BOS,WPG,BOS,,,,,,D/UTIL
85068-8175,C,Patrice,Patrice Bergeron,Bergeron,14.974193942162298,31,7300,WPG@BOS,BOS,WPG,,,,,,C/UTIL
85068-12283,G,Jacob,Jacob Markstrom,Markstrom,12.300000508626303,24,7300,CGY@LA,CGY,LA,,,,,,G
85068-82035,G,Cal,Cal Petersen,Petersen,8.533333460489908,12,7200,CGY@LA,LA,CGY,,,,,,G
85068-8412,G,Jonathan,Jonathan Quick,Quick,10.608695652173912,23,7200,CGY@LA,LA,CGY,,,,,,G
85068-8556,W,Claude,Claude Giroux,Giroux,13.834375381469727,32,7200,WSH@OTT,OTT,WSH,,,,,,W/UTIL
85068-8741,C,Nazem,Nazem Kadri,Kadri,14.072727087772254,33,7200,CGY@LA,CGY,LA,,,,,,C/UTIL
85068-9015,D,John,John Carlson,Carlson,15.731034903690732,29,7200,WSH@OTT,WSH,OTT,,,,,,D/UTIL
85068-15360,C,J.T.,J.T. Miller,Miller,13.309677616242439,31,7100,SEA@VAN,VAN,SEA,,,,,,C/UTIL
85068-12410,W,Taylor,Taylor Hall,Hall,14.093548190209173,31,7100,WPG@BOS,BOS,WPG,,,,,,W/UTIL
85068-103940,D,Adam,Adam Fox,Fox,14.470588235294118,34,7100,NYI@NYR,NYR,NYI,,,,,,D/UTIL
85068-11301,G,Cam,Cam Talbot,Talbot,15.511111789279514,18,7000,WSH@OTT,OTT,WSH,,,,,,G
85068-40023,G,Anton,Anton Forsberg,Forsberg,13.288888719346788,18,7000,WSH@OTT,OTT,WSH,,,,,,G
85068-40036,C,Tomas,Tomas Hertl,Hertl,14.366666851621686,33,7000,MIN@SJ,SJ,MIN,O,Suspension,,,,C/UTIL
85068-70912,D,Charlie,Charlie McAvoy,McAvoy,14.32222154405382,18,7000,WPG@BOS,BOS,WPG,,,,,,D/UTIL
85068-21927,W,Chris,Chris Kreider,Kreider,13.744117288028493,34,7000,NYI@NYR,NYR,NYI,,,,,,W/UTIL
85068-41390,C,Elias,Elias Lindholm,Lindholm,14.078125,32,7000,CGY@LA,CGY,LA,,,,,,C/UTIL
85068-66601,W,Jake,Jake DeBrusk,DeBrusk,13.309999593098958,30,6900,WPG@BOS,BOS,WPG,,,,,,W/UTIL
85068-84324,G,Kaapo,Kaapo Kahkonen,Kahkonen,7.573333231608073,15,6900,MIN@SJ,SJ,MIN,,,,,,G
85068-9052,G,James,James Reimer,Reimer,14.147367778577303,19,6900,MIN@SJ,SJ,MIN,,,,,,G
85068-15283,C,Vincent,Vincent Trocheck,Trocheck,13.188235114602481,34,6900,NYI@NYR,NYR,NYI,,,,,,C/UTIL
85068-97214,D,Noah,Noah Dobson,Dobson,13.518182003136838,33,6900,NYI@NYR,NYI,NYR,,,,,,D/UTIL
85068-82001,G,Collin,Collin Delia,Delia,16,1,6800,SEA@VAN,VAN,SEA,,,,,,G
85068-8394,C,Anze,Anze Kopitar,Kopitar,13.128571428571428,35,6800,CGY@LA,LA,CGY,,,,,,C/UTIL
85068-70251,G,Thatcher,Thatcher Demko,Demko,9.399999618530273,16,6800,SEA@VAN,VAN,SEA,IR,Lower body,,,,G
85068-42643,G,Spencer,Spencer Martin,Martin,11.719999694824219,20,6800,SEA@VAN,VAN,SEA,,,,,,G
85068-9269,C,Logan,Logan Couture,Couture,13.429411944221048,34,6700,MIN@SJ,SJ,MIN,,,,,,C/UTIL
85068-171491,W,Andrei,Andrei Kuzmenko,Kuzmenko,12.336666870117188,30,6700,SEA@VAN,VAN,SEA,,,,,,W/UTIL
85068-101277,D,Quinn,Quinn Hughes,Hughes,12.881481029369214,27,6700,SEA@VAN,VAN,SEA,,,,,,D/UTIL
85068-66759,D,Thomas,Thomas Chabot,Chabot,12.83703726309317,27,6600,WSH@OTT,OTT,WSH,,,,,,D/UTIL
85068-12624,W,Tyler,Tyler Toffoli,Toffoli,13.203030672940342,33,6600,CGY@LA,CGY,LA,,,,,,W/UTIL
85068-15366,G,Christopher,Christopher Gibson,Gibson,0,1,6500,SEA@VAN,SEA,VAN,,,,,,G
85068-43033,G,Antoine,Antoine Bibeau,Bibeau,,,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-66586,G,C.J.,C.J. Motte,Motte,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-180258,G,Jakub,Jakub Vondras,Vondras,,,6500,CAR@PIT,CAR,PIT,,,,,,G
85068-66599,G,Zane,Zane McIntyre,McIntyre,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-180271,G,Brad,Brad Arvanitis,Arvanitis,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-161836,G,Tommy,Tommy Nappier,Nappier,,,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-180268,G,Daniil,Daniil Chechelev,Chechelev,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-180285,G,Logan,Logan Flodell,Flodell,,,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-170059,G,Oskari,Oskari Salminen,Salminen,,,6500,WPG@BOS,WPG,BOS,,,,,,G
85068-180303,G,Thomas,Thomas Milic,Milic,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-161891,G,Dylan,Dylan Garand,Garand,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-161892,G,Talyn,Talyn Boyko,Boyko,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-82036,G,Matt,Matt Villalta,Villalta,,,6500,CGY@LA,LA,CGY,,,,,,G
85068-161908,G,Garin,Garin Bjorklund,Bjorklund,,,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-166031,G,Taylor,Taylor Gauthier,Gauthier,,,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-14483,G,Louis,Louis Domingue,Domingue,19.200000762939453,8,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-9366,G,Dustin,Dustin Tokarski,Tokarski,13.706667073567708,30,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-180384,G,Henrik,Henrik Tikkanen,Tikkanen,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-180393,G,Mason,Mason Beaupit,Beaupit,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-82098,G,Michael,Michael DiPietro,DiPietro,-0.800000011920929,1,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-168113,G,Clay,Clay Stevenson,Stevenson,,,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-66743,G,Kenneth,Kenneth Appleby,Appleby,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-168116,G,David,David Hrenak,Hrenak,,,6500,CGY@LA,LA,CGY,,,,,,G
85068-73910,G,Zach,Zach Sawchenko,Sawchenko,8.685714176722936,7,6500,CAR@PIT,CAR,PIT,,,,,,G
85068-180410,G,Ty,Ty Young,Young,,,6500,SEA@VAN,VAN,SEA,,,,,,G
85068-149699,G,Eetu,Eetu Makiniemi,Makiniemi,11.600000381469727,2,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-180423,G,Domenic,Domenic DiVincentiis,DiVincentiis,,,6500,WPG@BOS,WPG,BOS,,,,,,G
85068-116948,G,Arturs,Arturs Silovs,Silovs,,,6500,SEA@VAN,VAN,SEA,,,,,,G
85068-8426,D,Brent,Brent Burns,Burns,12.971875190734863,32,6500,CAR@PIT,CAR,PIT,,,,,,D/UTIL
85068-66796,G,Callum,Callum Booth,Booth,,,6500,SEA@VAN,SEA,VAN,,,,,,G
85068-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,11.481817996863162,33,6500,WSH@OTT,WSH,OTT,,,,,,C/UTIL
85068-170240,G,Olof,Olof Lindbom,Lindbom,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-82178,G,Kyle,Kyle Keyser,Keyser,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-117021,G,Hunter,Hunter Jones,Jones,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-82204,G,Parker,Parker Gahagen,Gahagen,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-170275,G,Jesper,Jesper Wallstedt,Wallstedt,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-117055,G,Dustin,Dustin Wolf,Wolf,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-74053,G,Mikhail,Mikhail Berdin,Berdin,,,6500,WPG@BOS,WPG,BOS,,,,,,G
85068-117110,G,Mads,Mads Sogaard,Sogaard,13.199999809265137,2,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-168320,G,Brandon,Brandon Bussi,Bussi,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-162243,G,Patrik,Patrik Hamrla,Hamrla,,,6500,CAR@PIT,CAR,PIT,,,,,,G
85068-162288,G,Tristan,Tristan Lennox,Lennox,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-162300,G,Benjamin,Benjamin Gaudreau,Gaudreau,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-58904,G,Aaron,Aaron Dell,Dell,10.399999618530273,2,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-154165,G,Leevi,Leevi Merilainen,Merilainen,,,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-169533,G,Strauss,Strauss Mann,Mann,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-8781,G,Cory,Cory Schneider,Schneider,21.600000381469727,1,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-148097,W,Matt,Matt Boldy,Boldy,13.118749618530273,32,6500,MIN@SJ,MIN,SJ,,,,,,W/UTIL
85068-54028,G,Pheonix,Pheonix Copley,Copley,20.8000005086263,6,6500,CGY@LA,LA,CGY,,,,,,G
85068-42782,G,Oscar,Oscar Dansk,Dansk,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-42800,G,Zach,Zach Fucale,Fucale,12.199999809265137,4,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-103263,G,Joey,Joey Daccord,Daccord,6.199999809265137,4,6500,SEA@VAN,SEA,VAN,,,,,,G
85068-42852,G,Francois,Francois Brassard,Brassard,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-42853,G,Chris,Chris Driedger,Driedger,12.71111156322338,27,6500,SEA@VAN,SEA,VAN,IR,Knee,,,,G
85068-14183,G,Keith,Keith Kinkaid,Kinkaid,32,1,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-97135,G,Kevin,Kevin Mandolese,Mandolese,0,1,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-97161,G,Jacob,Jacob Ingham,Ingham,,,6500,CGY@LA,LA,CGY,IR,Back,,,,G
85068-157597,G,Filip,Filip Lindberg,Lindberg,,,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-15269,W,Rickard,Rickard Rakell,Rakell,13.234375,32,6500,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-97204,G,Zachary,Zachary Emond,Emond,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-97231,G,Jakub,Jakub Skarek,Skarek,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-66685,C,Mathew,Mathew Barzal,Barzal,12.769696784741951,33,6400,NYI@NYR,NYI,NYR,,,,,,C/UTIL
85068-42833,W,Andre,Andre Burakovsky,Burakovsky,12.961289928805444,31,6400,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-62429,W,Adrian,Adrian Kempe,Kempe,11.454285539899553,35,6400,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-66688,D,Rasmus,Rasmus Andersson,Andersson,11.772727272727273,33,6300,CGY@LA,CGY,LA,,,,,,D/UTIL
85068-39238,W,Anders,Anders Lee,Lee,12.727272727272727,33,6300,NYI@NYR,NYI,NYR,,,,,,W/UTIL
85068-66709,W,Jared,Jared McCann,McCann,11.889285496303014,28,6200,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-169115,C,Matty,Matty Beniers,Beniers,11.925806845388104,31,6200,SEA@VAN,SEA,VAN,,,,,,C/UTIL
85068-39464,D,Hampus,Hampus Lindholm,Lindholm,11.741935483870968,31,6200,WPG@BOS,BOS,WPG,,,,,,D/UTIL
85068-8182,W,Blake,Blake Wheeler,Wheeler,12.948275862068966,29,6200,WPG@BOS,WPG,BOS,IR,Groin,,,,W/UTIL
85068-39245,D,Jacob,Jacob Trouba,Trouba,11.364705702837776,34,6100,NYI@NYR,NYR,NYI,,,,,,D/UTIL
85068-59207,W,Viktor,Viktor Arvidsson,Arvidsson,11.851612706338205,31,6100,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-8176,C,David,David Krejci,Krejci,11.977777551721644,27,6100,WPG@BOS,BOS,WPG,,,,,,C/UTIL
85068-54477,W,Bryan,Bryan Rust,Rust,11.240625381469727,32,6000,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-8441,W,Max,Max Pacioretty,Pacioretty,16.625641651642628,39,6000,CAR@PIT,CAR,PIT,IR,Achilles,,,,W/UTIL
85068-12812,D,Jared,Jared Spurgeon,Spurgeon,10.018750190734863,32,6000,MIN@SJ,MIN,SJ,,,,,,D/UTIL
85068-9025,W,Jordan,Jordan Eberle,Eberle,11.55483910345262,31,6000,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-21686,W,Jason,Jason Zucker,Zucker,10.9172415897764,29,5900,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-8406,D,Drew,Drew Doughty,Doughty,10.358823888442096,34,5900,CGY@LA,LA,CGY,,,,,,D/UTIL
85068-8478,W,Zach,Zach Parise,Parise,10.606060606060606,33,5900,NYI@NYR,NYI,NYR,,,,,,W/UTIL
85068-8608,D,Kris,Kris Letang,Letang,10.477777551721644,27,5900,CAR@PIT,PIT,CAR,,,,,,D/UTIL
